Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Adverty;2018-11-29;First North;Mangold FK ;7;20;                          -36        ;100;7,5;100;;;0;Niklas Bakos;Henrik Sundewall;52,93;Niclas Kjellgren,Niklas Bakos,Pontus Dahlstrom,Mangold FK,Nordic XR Startups;;Mikrobolag;0;-59,33;www.adverty.com;Nordnet Bank,Hamilton 
Jetty;2018-11-12;Spotlight;InWest Corp. ;5;10;                          -91        ;37;5,75;100;Swace Digital,Patrick Bergstrom,Name Navigation,Mattias Forslin,Massimiliano Franzé;;71.,9;Dan Sonesson;Magnus Uppsall;52,26;Magnus Uppsall,Dan Sonesson (via bolag),Lisa Nilsson,Swace Digital,Name Navigation;;Mikrobolag;0;-11,3;jetty.se;Aktieinvest 
Stenocare;2018-10-26;Spotlight;Sedermera Corporate Finance ;0;26;                          73        ;109;8,8;100;CannTrust,Jimmie Landerman,Peter Nilsson,Per Nilsson,Oliver Molse, m.fl.;;60.,2;Thomas Skovlund Schnegelsberg;Marianne Wier;15,83;CannTrust,Steno Investments,Prana Holding,Peter Nilsson,Gerhard Dal;;Mikrobolag;0;212,5;stenocare.dk;Gemstone Capital,Nordnet Bank 
Ziccum;2018-10-25;Spotlight;Aqurat ;1;16;                          438        ;32;5,26;100;Per Nilsson,Kristian Kierkegaard,Goran Conradson (privat och via bolag),Ola Camber,Fredrik Sjovall;;16.,5;Goran Conradson;Fredrik Sjovall;15,2;Inhalation Sciences,Goran Conradson (privat och via bolag),Per Gerde (via bolag),Fredrik Sjovall,Kristian Kierkegaard;;Mikrobolag;0;20,15;ziccum.com;Fredersen Advokat 
Hoodin;2018-11-07;Spotlight;Sedermera Corporate Finance ;4;13;                          -0        ;42;4,1;100;Peter Wendel (via bolag),Lennart Bergstrom,Peter Nilsson,Christian Mansson,Jimmie Landermann;;37.,1;Marcus Emne;Peter Wendel;36,63;Marcus Emne,Peter Wendel (via bolag),Jakob Jensen Pruhz,Alexander Wietz,Jan Halling (via bolag);;Mikrobolag;0;-63,29;www.hoodin.com;
Asarina Pharma;2018-09-24;First North;Erik Penser Bank ;0;143;                          -67        ;329;21;100;Sectoral Assett Management,Swedbank Robur,Östersjostiftelsen,Catella,Kurma Biofond;;90.,3;Peter Nordkild;Paul de Potocki;6,2;Kurma Biofund,Rosetta Capital,Östersjostiftelsen,Sectoral Assett Management,Swedbank Robur;;Smabolag;100;77,14;www.asarinapharma.com;Fredersen Advokat 
Metacon;2018-10-11;NGM SME;Eminova ;6;17;                          711        ;51;0,35;100;Lennart Larsson,Corporatum OY,Lars Edvardson AB,CC Tornblom,Lars Amnell;;45.,1;Christopher Tornblom;Ingemar Andersson;39,13;Lennart Larsson,Xenophon Verykios,Lars Edvardson,Kurt Dahlberg,Slavica Djuric;;Mikrobolag;0;8,57;metacon.se/sv/hem;
Frill;2019-03-27;First North;Goteborg Corp. ;11;20;                          -84        ;124;5;100;;;0;Khosro Ezaz-Nikpay;Mats Lindstrand;25,67;Nordea Bank,Khosro Ezaz-Nikpay,Claes Elinder,Zendegii Retail,MyWorld Limited;;Mikrobolag;0;-8,4;www.frill.eu;Eminova,Torngren Magnell 
Risk Intelligence;2018-08-17;Spotlight;Sedermera Corporate Finance ;1;17;                          -21        ;67;6,25;100;Christian Mellentin,Claus Hansen,Gerhard Dal,Jens Mioen,Jan Holm;									Jens Olsson,					Peter Nilsson,					Jimmie Landerman,					Paginera Invest,					Christian Månsson			;73.,2;Hans Tino Hansen;Jan Holm;42,95;Hans Tino Hansen,Polaris Maritime,Stefan Nonboe,Stig Streit Jensen,Jimmie Landerman;;Mikrobolag;0;53,6;riskintelligence.eu;Nordnet Bank 
Dicot;2018-06-20;Spotlight;InWest Corp. ;1;11;                          -72        ;38;5,15;100;Bertil Lindkvist,Rune Loderup,Jarl Wikberg,Gerhard Dal,Fyrstad Foretagsfin.;;19.,5;Goran Beijer;Lars Jonsson;55,78;Jarl Wikberg,Bertil Lindkvist,Gerhard Dal,UU Holding;;Mikrobolag;0;66,99;dicot.se;Aktieinvest 
Freetrailer;2018-06-14;Spotlight;Corpura ;3;19;                          -3        ;56;4,5;100;Mikael Konnerup,Acasma,Goran Mansson,Per Nilsson,Philip Lochen;;60;Allan Sønderskov Darré;Mikael Bartroff;38,87;Allan Sønderskov Darré,Aksel Blomgren Ambjørner,Mikael Bartroff,Peter Nilsson,Jimmie Landerman;;Mikrobolag;0;11,11;freetrailer.com;Gemstone Capital,Sedermera Corporate Finance,VP,Fredersen Advokat,Mazanti-Andersen Advokat 
IA Industriarmatur;2018-06-11;Spotlight;Partner FK ;5;7;                          -47        ;67;17;100;Johan Rask,Jorgen Hentschel,Goran Nordlund;;19;Jan-Eric Nilsson;Johan Rask;46,48;iOWA Holding,Chalmers Tekniska Hogskola,Goran Nordlund,Jan-Åke Herdin,Stephan Mangold;;Mikrobolag;33.42;-5,88;industriarmatur.se;
Scandion Oncology;2018-11-08;Spotlight;Sedermera Corporate Finance ;0;26;                          515        ;70;5,85;100;Gerhard Dal,Jimmie Landerman,Per Vasilis,Christian Mansson,Peter Nilsson;;71.,1;Nils Brünner;Jørgen Bardenfleth;22,02;Saniona,Jan Stenvang,Nils Brünner,Kim Arvid Nielsen;;Mikrobolag;0;52,14;scandiononcology.com;Nordnet Bank 
Lumito;2018-10-19;NGM SME;Goteborg Corp. ;9;20;                          -10        ;142;5;100;Stefan Nilsson,Masoud Khayyami;;10;Stefan Nilsson;Masoud Khayyami;43,35;Masoud Khayyami,Stefan Andersson-Engels,LU Holding,Stefan Nilsson;;Mikrobolag;0;-57,6;www.lumito.se;
Calmark;2018-07-06;Spotlight;Sedermera Corporate Finance ;0;23;                          28        ;48;4,6;100;Lars Wingefors,OLCON Engineering,Mathias Karlsson,Gerhard Dal,Jimmie Landermann;;65.,9;Anna Soderlund;Mathias Karlsson;22,08;Lars Wingefors,OLCON Engineering,Mathias Karlsson,Hans Risberg,Almi;;Mikrobolag;0;0,65;www.calmark.se;
Raketech;2018-06-29;First North;Danske Bank,SEB ;4;470;                          -74        ;1137;30;85;;;0;Michael Holmberg;Christian Lundberg;20,21;Tobias Persson,Erik Skarp,Johan Svensson,Reine Beck,Marcus Ingemansson;									Tobias Persson,					Marcus Ingemansson,					Kristian Svensson,					Martin Larsson,					Bengt Sonnert			;Miljardbolag;0;-5;raketech.com;Gernandt & Danielsson,Vinge 
Calliditas;2018-06-29;Nasdaq Small;Carnegie ;1;650;                          110        ;1495;45;100;AFA Forsakring,Gladiator,Handelsbanken Fonder,AP4,Industrifonden;;48.,3;Renée Aguiar-Lucander;Thomas Eklund;16,23;Industrifonden,Investinor,Bengt Julander,Zaragatero;;Miljardbolag;90.92;4,44;www.calliditas.se;Stifel,Redeye,Baker McKenzie,Avanza Bank 
Ranplan;2018-06-28;First North;Naventus Corp. ;7;62;                          -24        ;207;10,3;100;Xiaoyun Li,Yibing Fang,Jinxing Xue,Hongbing Li,Yanzhao Dong;									Per Lindberg,					LMK,					Xiaoyun Li,					Yibing Fang,					Mats Andersson			;100;Alastair Williamson;Mats Andersson;7,31;Jinxing Xue,Hongbing Li & Qimei Wu,Joyce Yuhua Wu och Jie Zhang;;Smabolag;0;-22,33;ranplanwireless.com;Setterwalls,Hagberg & Aneborn FK,Nordnet Bank 
ViroGates;2018-06-26;First North;Vastra Hamnen ;3;102;                          -26        ;376;91;100;LMK,Niels Peter Louis-Hansen,A & C Følsgaard Invest,Kim Ginnerup,Lars Krogsgaard;;71.,7;Jakob Knudsen;Lars Kongsbak;18,32;Niels Peter Louis-Hansen,Kim Ginnerup,Lars Krogsgaard,Mads Kjær,Jesper Eugen-Olsen;;Smabolag;0;-6,04;www.virogates.com;Avanza Bank,Nordnet Bank,Mazanti-Andersen Advokat,Danske Bank 
Midsummer;2018-06-21;First North;G&W FK ;4;100;                          11        ;501;16,2;100;Skandia Fonder,Nordea Fonder,Ålandsbanken,Gerhard Dal,Öhman Bank;;85.,7;Sten Lindstrom;Jan Lombach;60,61;Liang Gao,Philip Gao,Infologix,Jan Lombach,Sven Lindstrom;;Smabolag;0;39,81;midsummer.se;Aktieinvest 
Projektengagemang;2018-06-19;Nasdaq Small;SEB ;2;470;                          -64        ;1125;47;64;Swedbank Robur,Öresund,Humle,LK Finans;;46.,3;Per Hedeback;Gunnar Gronkvist;30,53;Projektengagemang Holding,Öresund,LK Finans,Swedbank Robur,Humle;									Projektengagemang Holding,					Peter Sandberg,					Per Goransson			;Miljardbolag;41.12;-;projektengagemang.se;White & Case,Hammarskiold 
Arion Bank;2018-06-15;Nasdaq Large;Morgan Stanley,Bruun & Hjejle,Citigroup ;1;3632;                          -33        ;11175;6,174;0;Lansdowne Partners,Miton Asset Management;;14.,7;Hoskuldur H. Ólafsson;Eva Cederbalk;Uppgift saknas;Kaupskil,Trinity Investments,Taconic Capital Advisors,Sculptor Investments,Arion Bank;									Kaupskil			;Miljardbolag;67.71;10,38;www.arionbanki.is;Deutsche Bank,Goldman Sachs,Handelsbanken,Fossar,Islandsbanki,Landsbankinn 
Better Collective;2018-06-08;Nasdaq Mid;Nordea,SEB ;2;600;                          125        ;2169;53;100;Jens Bager,Leif Nørgaard,Klaus Holse,Søren Jørgensen;;6.,6;Jesper Sørgaard;Jens Bager;66,58;Jesper Sørgaard och Christian Kirk Rasmussen,Better Partners,Thomas Høgenhaven,Jens Bager,Leif Norgaard;;Miljardbolag;34.6;28,3;bettercollective.com;Setterwalls,Bruun & Hjejle,Vinge 
NCAB Group;2018-06-05;Nasdaq Small;Carnegie ;2;546;                          111        ;1264;75;18;AP4,AP3,Lansforsakringar,Lazard,C WorldWide;;47.,2;Hans Stahl;Christian Salamon;56,82;R12 Kapital,AP4,Hans Stahl,AP3,Lansforsakringar;									R12 Kapital,					David Wolff,					Christian Salamon,					Hans Stahl			;Miljardbolag;8.15;0,67;www.ncabgroup.com;Baker McKenzie,Roschier 
I-Tech;2018-05-28;First North;Erik Penser Bank ;2;38;                          393        ;239;20,5;100;Unionen,Goran Kallebo,Zonda Partners,Chirp AB,Akilakonsulting;;69.,5;Philip Chaabane;Stefan Sedersten;8,8;Vicore Pharma,Cambrex,Almi,Ponoma-gruppen,Stefan Sedersten;;Smabolag;93.36;20,32;i-tech.se;MAQS 
JonDeTech;2018-05-25;First North;Redeye ;4;30;                          2        ;290;16;100;Ålandsbanken,LMK,Robert Ekstrom,Back in Black Capital;;66.,7;Robert Ekstrom;Michael Olsson;56,82;Patrik Lundstrom och Michael Olsson,Mikael Lindeberg,Bengt Lindblad;;Smabolag;0;-30,63;www.jondetech.se;Torngren Magnell 
Bodyflight;2018-05-24;Spotlight;Sedermera Corporate Finance ;2;21;                          -74        ;70;7;100;Daniel Volle,Live It,Stefan Burstrom,Jimmie Landermann,Peter Nilsson;;64.,3;Markus Wiborg;Anders Eriksson;52,09;Daniel Volle,Micha Velasco,Stefan Burstrom,Tobias Pontvik;;Mikrobolag;0;-9,29;sv.bodyflight.se;
Ovzon;2018-05-18;First North;Carnegie ;2;325;                          -41        ;539;70;58;Öresund,Bure Equity;;43.,4;Per Wahlberg;Lennart Hallkvist;10,97;OverHorizon,Bure Equity,Öresund;									OverHorizon			;Smabolag;100.31;10,86;www.ovzon.com/en;White & Case,Gernandt & Danielsson 
Entella;2018-05-02;Spotlight;Ingen radgivare ;6;7;                          0        ;36;5,5;100;;									Jonas Litborn,					NS Ventures,					Peter Jakobsson,					Tobias Ottosson,					Mikael Rosenkrantz			;100;Tony Selin;Peter Jakobsson;34,48;NS Ventures,Peter Jakobsson,Rober Risberg,Thomas Jansson;;Mikrobolag;0;-;entella.se;Partner FK 
Infrea;2018-04-20;First North;Mangold FK ;3;24;                          2        ;354;22;100;;;0;Tony Andersson;Urban Sturk;30,98;Erik Lindeblad,CNI Nordic,FV Group,Stig Forslund,Urban Sturk;;Smabolag;0;-13,64;infrea.se;Kaidin Advokat 
Fluicell;2018-04-18;First North;Mangold FK ;4;33;                          -35        ;112;15;100;J.Carlstrom,Mangold FK,Oliver Molse, m.fl.,Gerhard Dal,Rune Loderup;;70;Victoire Viannay;Stefan Tilk;7,49;Quiq,Oliver Molse, m.fl.,Carljohan Lagervall,Almi,Aldo Jesorka;;Mikrobolag;100;1,33;fluicell.com;Delphi 
Tectona Capital;2018-04-13;NGM SME;Axier ;5;9;                          -38        ;44;2,7;100;;;0;Johan Skalén;Jason Tummings;27,66;Johan Skalén,Nicklas Jorgensen,Bengt Thorn;;Mikrobolag;0;-3,7;www.tectona.se;Mangold FK 
Iconovo;2018-04-06;First North;Erik Penser Bank ;2;40;                          14        ;260;38,5;100;Alto Invest,Nordic Cross,Penser-kunder;;61.,9;Orest Lastow;Mats Johansson;43,17;Mats Johansson,Orest Lastow,Alto Invest,Marten Rittfeldt;;Smabolag;0;-6,49;iconovo.se;Hamilton 
Bygghemma;2018-03-27;Nasdaq Mid;Carnegie ;2;1408;                          9        ;5100;47,5;25;ATP,Creades;;17.,8;Mikael Olander;Henrik Theilbjorn;9,84;FSN Capital,Mikael Olander,Martin Edblad,Peter Rosvall;									FSN Capital,					Mikael Olander,					Martin Edblad,					Peter Rosvall			;Miljardbolag;0;-11,58;www.bygghemma.se;SEB,Berenberg,Baker McKenzie,Cederquist 
Green Landscaping;2018-03-23;First North;Pareto ;3;375;                          24        ;745;21;20;Johan Nordstrom,Carl-Fredrik Meijer;;54.,7;Johan Nordstrom;Per Sjostrand;16,1;FSN Capital,Johan Nordstrom,Per Sjostrand;									FSN Capital,					Knut Engqvist,					Eblon,					Peter Hedlin			;Miljardbolag;0;-0,57;www.greenlandscaping.se;Avanza Bank,Setterwalls,Baker McKenzie 
Cibus Nordic;2018-03-09;First North;Pareto ;5;3060;                          52        ;3060;98,4;100;Sirius;;66.,6;Lisa Dominguez Flodin;Rickard Backlund;1,64;Sirius;;Miljardbolag;0;2,64;www.cibusnordic.com;Avanza Bank,Nordnet Bank,Roschier 
Attana;2018-03-07;NGM SME;Eminova ;10;15;                          -0        ;78;0,6;100;;									Ospecifierat garantikonsortium			;66.,7;Teodor Aastrup;Arne Nabseth;33,92;Teodor Aastrup,Vicama,Capensor,Arne Nabseth,Sebastian Enrooth;;Mikrobolag;0;-36,67;www.attana.com;
OptiMobile;2018-02-28;Spotlight;Sedermera Corporate Finance ;5;15;                          -90        ;65;6;100;G.Bergman,Per Vasilis,Per Nilsson,Niclas Lowgren,C.Mansson;;39;Lars Rutegard;Gosta Bergman;22,99;G.Bergman,P.Gunningberg;;Mikrobolag;0;-37;optimobile.se;
Bioactive Bone Substitutes;2018-02-28;First North;Aalto Capital ;8;75;                          45        ;316;5,5;100;Ospecifierat;;5.,8;Pekka Jalovaara;Jarmo Halonen;9,1;Finha Capital,P.Jalovaara,J.Halonen;;Smabolag;0;-21,82;www.bbs-artebone.fi;Nordnet Bank,Regin 
Smoltek;2018-02-26;Spotlight;Partner FK ;2;20;                          194        ;95;17,9;100;Gerhard Dal,F.Gramnaes,P.Lochen,Rune Loderup,Niclas Lowgren;;50;Anders Johansson;Peter Augustsson;64,57;F.Gramnaes,P.Enoksson;;Mikrobolag;0;-12,85;www.smoltek.com;
Livihop;2018-02-23;First North;Mangold FK ;3;24;                          -39        ;113;15;100;Mangold FK,G.Nordin,GoMobile,P.Nilsson,C.Auer;;66.,7;Carl Auer;Christian Paulsson;64,23;R.Palm,C.Auer,S.Palm,Mangold FK,G.Nordin;;Smabolag;0;-;livihop.se;Westermark 
GoldBlue;2018-02-21;NGM SME;G&W FK ;10;24;                          -98        ;183;5,85;100;Effnetplattformen,A.Rodrigues,Rune Loderup;									G&W-kunder			;88.,7;Andre Rodrigues;Rune Loderup;21,33;Rune Loderup,Watermill,Chartus;;Smabolag;0;-25,66;www.goldblue.eu;Aktieinvest,DLA Piper 
Dr Sannas;2018-02-02;NGM SME;Augment Partners ;5;3;                          -40        ;27;18;100;;;0;Daniel Ehdin;Sanna Ehdin Anandala;64,11;Sanna Relations,Stavsborg Invest,Alexander Schmidt,Augment Partners,Ulla Wendt;;Mikrobolag;100;-11,11;sannashop.com;Mangold FK,Invesdor 
Infracom;2018-01-15;Spotlight;Nordnet Bank ;4;22;                          55        ;166;6,4;100;Harald Moller,Jakob Hwang,Roger Werin,Gerhard Dal;;53;Bo Kjellberg;Oskar Safstrom;86,35;Bo Kjellberg,Jorgen Lager,Oskar Safstrom,Niklas Larsson,Olof Mohill;;Smabolag;0;46,09;infracom.se;Partner FK 
CGit Holding;2018-01-09;Spotlight;Ingen radgivare ;4;5;                          56        ;39;25;100;;									Oliver Molse, m.fl.,					Per Nilsson,					Gerhard Dal,					Jimmy Jönsson			;100;Mattias Bergkvist;Leif Nord;63,45;Christian Gustavsson,Morgan Fjellberg,Leif Nord,New Equity Venture,Mattias Bergkvist;;Mikrobolag;0;-8;www.cgit.se;Partner FK 
Obstecare;2018-01-04;Spotlight;InWest Corp. ;3;16;                          -15        ;57;3,8;100;Allba Holding,Johan Itzel,Peder Mansson,Olle Qvarnstrom,Fyrstad Foretagsfin.;;9.,7;John Itzel;Peter Risberg;14,39;Peder Mansson,Oxtorgets konsulter,Allba Holding,Johan Itzel,Gerhard Dal;;Mikrobolag;0;-18,16;obstecare.com;Aktieinvest 
Orgo Tech;2018-01-03;Spotlight;Capval Corp. ;7;6;                          -63        ;30;3;100;;									Richard Näsström,					Katia Barros,					Mats Jämterud			;100;Mathias Palmqvist;Christian Kronegard;10,48;New Equity Venture,AB B21,Mathis Palmqvist,Blue Bat;;Mikrobolag;0;-2,67;orgotech.se;Partner FK 
H&D Wireless;2017-12-22;First North;Goteborg Corp. ;4;24;                          -89        ;136;8;100;Agne Nystrom,Carl Elgh,Carl Östholm;									LMK,					Rune Löderup,					Per Nilsson,					Dividend,					Gerhard Dal			;97;Par Bergsten;Hakan Djuphammar;39,03;Par Bergsten,Carl Elgh,Anders Grahn,Åke Jernberger;;Mikrobolag;50;12,5;www.hd-wireless.se;Torngren Magnell 
24Sevenoffice;2017-12-21;Spotlight;Partner FK ;1;40;                          177        ;347;6,5;100;Humle,Oliver Molse, m.fl.,Quiq Distribution,Gerhard Dal,Stian Rustad;;61.,3;Staale Risa;Karl-Anders Gronland;5,02;24SevenOffice AS,Staale Risa,Truls Kristian Hauger,Karl-Anders Gronland;;Smabolag;0;-12,31;24sevenoffice.com/se;
Topright;2017-12-15;NGM SME;Eminova ;8;19;                          -33        ;120;9,75;100;Fredrik Skarke;;100;Anders Myrback;Fredrik Skarke;Uppgift saknas;FAAV Invest,SvFFAB,Yimyame;;Mikrobolag;0;-27,18;toprightnordic.com;
Bioworks;2017-12-14;First North;Vator ;0;80;                          -25        ;212;11;100;Amicogen,Ålandsbanken;;87.,5;Mats Johnson;Thomas Pollare;7,08;Almi Invest,Andrew Bright,Inovata;;Smabolag;0;13,64;www.bio-works.com;Nordnet Bank,Hamilton 
Flexqube;2017-12-14;First North;Avanza Bank ;0;40;                          23        ;190;30;100;Didner Gerge,Christian Thiel,Per Augustsson,Anders Fogelberg,Ulf Ivarsson;;28.,9;Anders Fogelberg;Ulf Ivarsson;75,24;Christian Thiel,Per Augustsson,Anders Fogelberg,Didner Gerge;;Smabolag;0;2,33;www.flexqube.com;Morris 
Atvexa;2017-12-13;First North;DNB ;1;68;                          57        ;544;50;59;Humle,Lancelot;;66.,2;Katarina Sjogren;Sara Karlin;86,2;Lars Brune,Peter Weiderman,Sara Karlin,Katarina Sjogren;									Sara Karlin,					Katarina Sjogren,					Cecilia Daun Wennborg			;Smabolag;100;13;www.atvexa.com;Hammarskiold 
Toadman Interactive;2017-12-13;NGM SME;Eminova ;6;22;                          47        ;194;12,9;100;Sonny Johansson,Georg Vesslund,Johan Halldoff,Alexander Albedj;									Alexander Albedj			;100;Robin Flodin;Alexander Albedj;Uppgift saknas;Robin Flodin,Rasmud Davidsson,Fatshark;;Smabolag;0;-15,5;toadmaninteractive.com;
Colabitoil;2017-12-12;Spotlight;Sedermera Corporate Finance ;6;20;                          -72        ;292;33;100;Holmsund Invest,Swedish Growth Fund,SAMBUS,Sedermera-kunder;;46;Jan Nordlof;Bjorn Norrbom;Uppgift saknas;Per-Erik Holmgren,Christer Sundin,Bjorn Norrbom;;Smabolag;0;-45,45;www.colabitoil.com;
Lyko;2017-12-12;First North;ABG Sundal Collier ;0;245;                          79        ;766;50;91;Swedbank Robur,Lansforsakringar;;36.,8;Joanna Hummel;Per Sjodell;50,57;Lyko Holding,Bellbox,Swedbank Robur,Lansforsakringar;									Bellbox Holding,					Per Sjodell			;Smabolag;83.07;3;www.lyko.se;Vinge,Baker McKenzie 
Acconeer;2017-12-11;First North;Redeye ;2;150;                          -16        ;446;25;100;BGA Invest,Winplantan,Almi,Tomas Rex,H.Ljung;;80;Lars Lindell;Bengt Gunnar Adolfsson;39,43;BGA Invest,Winplantan,Uniquest,Dreamtech,Almi;;Smabolag;100;35,2;www.acconeer.com;Aktieinvest,Moll Wendén 
Scout Gaming Group;2017-12-11;First North;Redeye ;1;60;                          -42        ;285;23;100;Handelsbanken Fonder,Swedbank Robur,Knutsson Holding,Novobis,Lars Wingefors;;83.,8;Andreas Ternstrom;Rolf Blom;32,64;Atle Sundal H.,Andreas Sundal H.,Daniel Rammeskov,Handelsbanken Fonder,Swedbank Robur;;Smabolag;0;52,17;www.scoutgaminggroup.com;Aktieinvest,Delphi 
MAG Interactive;2017-12-08;First North;Danske Bank ;2;499;                          -64        ;1158;44;40;Didner Gerge,Handelsbanken Fonder,RAM,Chalex,Swedbank Robur;;62;Daniel Hasselberg;Walter Masalin;31,57;Daniel Hasselberg,Kaj Nygren,Roger Skagerwall,Fredrik Stenh,Anders Larsson;									Daniel Hasselberg,					Kaj Nygren,					Roger Skagerwall,					Fredrik Stenh,					Anders Larsson			;Miljardbolag;0;-5,68;www.maginteractive.com;Roschier,Hamilton 
TimePeopleGroup;2017-12-07;NGM SME;Eminova ;2;24;                          47        ;138;19;100;H.Nygren,Giraff Data,Montsinary;;60;Magnus Lonn;Bo Nordlander;76,02;Hans Nygren,Montsinary,Giraff Data;;Mikrobolag;0;-9,47;www.timepeoplegroup.com;
DevPort;2017-12-07;First North;Avanza Bank ;0;57;                          -20        ;172;35;26;Swedbank Robur;;29.,5;Nils Malmros;Per Rodert;29,04;SEBI Holding,Per Rodert,Nils Malmros,Bertil Nordenberg,Gormac;;Smabolag;0;11,43;www.devport.se/vi-ar-devport;Lindahl 
Tempest Security;2017-12-06;First North;Arctic Securities ;2;51;                          28        ;160;22;78;Swedbank Robur,Daniel Güner,Ivium Partners,Navare Invest;;47.,4;Andrew Spry;Anders Laurn;52,89;Andrew Spry,Thomas Lofving,Thomas Cavas;									Andrew Spry,					Thomas Lofving,					Thomas Cavas,					Lennarth Ädel			;Smabolag;0;-9,09;tempest.se;Vinge 
Awardit;2017-12-05;First North;JAHI Corporate ;2;19;                          268        ;140;28;0;;;0;Niklas Lundqvist;Olof Isberg;Uppgift saknas;Visionalis,Niklas Lundqvist,Johan Hagman,Emiren,Mikael Gombrii;									Niklas Lundqvist,					Johan Hagman,					Anders Holmstedt,					Mats Ahlberg			;Mikrobolag;0;36,43;www.awardit.se;Aqurat 
2cureX;2017-11-24;First North;Sedermera Corporate Finance ;1;18;                          85        ;81;7,8;100;Sedermera-kunder,Gerhard Dal;;50.,2;Ole Thastrup;Povl-Andre Bendz;Uppgift saknas;Ole Thastrup,Ulrich Spengler,FORCE Technology;;Mikrobolag;0;3,21;www.2curex.com;
Touchtech;2017-11-22;Spotlight;InWest Corp. ;1;10;                          67        ;50;6,9;100;Per Nilsson,Christian Berger, m.fl.,Oliver Molse, m.fl.,Gerhard Dal,Sonny Johansson;;52;Deniz Chaban;Gosta Blomqvist;Uppgift saknas;Deniz Chaban,Greenfield,Sebastian Hartman,Almi,Sonny Johansson;;Mikrobolag;0;15,22;www.touchtech.com;Aktieinvest 
Irras;2017-11-22;First North;ABG Sundal Collier ;1;290;                          -52        ;1065;45;100;Serendipity,Vandel Medical;;12.,1;Kleanthis G. Xanthopoulos;Anders P. Wiklund;Uppgift saknas;Vandel Medical,Serendipity,F.EX Endotherapy;;Smabolag;0;-16,44;irras.com;Vator,Setterwalls,Baker McKenzie 
Seafire;2017-11-16;NGM SME;Augment Partners ;7;20;                          -36        ;56;12;100;Fireseas,Lendau Capital,Johan Bennarsten,Johan Andersson;									Jens Miöen,					Gerhard Dal,					Per Vasilis,					LMK,					Göran Månsson			;80;Johan Bennarsten;Joachim Berner;Uppgift saknas;Fireseas,Brohuvudet,Hans Skold;;Mikrobolag;0;-33,33;seafireab.com;Invesdor,Aqurat,DLA Piper 
Indentive;2017-11-13;First North;Remium ;4;30;                          -39        ;99;18;100;Aggregate Media Fund;;41;Lars-Thomas Rasmussen;Mikael Hult;Uppgift saknas;Mattias Andersson,Anders Brink,Carl-Johan Gerhardsson;;Mikrobolag;100;-14,94;indentive.se;Nordnet Bank,Aktieinvest,Delphi 
Bublar;2017-11-06;NGM SME;G&W FK ;6;24;                          52        ;88;3,67;100;Need Invest,Henrik Melinder,G&W FK,Niclas Lowgren;									LMK,					Göran Källebo,					Göran Månsson,					Feat Invest			;85.,1;Magnus Granqvist;Staffan Eklow;Uppgift saknas;Kenneth Haggmark,Margnus Granqvist,Need Invest;;Mikrobolag;100;-15,45;bublar.com;Aktieinvest 
Ferronordic;2017-10-27;Nasdaq Mid;Carnegie ;1;450;                          -0        ;2180;150;44;LMK,Martin Gren,Vatterleden,GLG Partners;;38.,9;Lars Corneliusson;Staffan Jufors;Uppgift saknas;Skandinavkonsult,Mellby Gard,Erik Eberhardson,Lars Corneliusson;;Miljardbolag;100;7,33;ferronordic.ru/sv;Gernandt & Danielsson,Goltsblat Berwin 
Bibb Instruments;2017-10-27;Spotlight;Sedermera Corporate Finance ;1;13;                          32        ;48;5,85;100;Sedermera-kunder,Bruno Walther,Charles Walther,Faro Capital;;35.,3;Fredrik Lindblad;Erik von Schenck;Uppgift saknas;CHWA Konsult,LU Holding,Faro Capital;;Mikrobolag;0;53,85;www.bibbinstruments.com;
ESEN eSports;2017-10-26;Spotlight;Eminova ;7;9;                          -95        ;54;16;100;;;0;Joakim Stenberg;Christer Kornback;Uppgift saknas;Joakim Stenberg,Kornback,Jan Lundemo;;Mikrobolag;0;-18,75;esenesports.com;
Global Gaming;2017-10-19;First North;Redeye ;1;22;                          -50        ;873;22;100;;;0;Stefan Olsson;Peter Eidensjo;Uppgift saknas;Clearstream,Ahti Tiainen,Jens Sjogren;;Smabolag;0;27,27;globalgaming.com;Aktieinvest,Wistrand 
Climeon;2017-10-13;First North;Pareto ;1;200;                          145        ;1307;31;100;Ålandsbanken,LMK,Alfred Berg,Gullspang,Blue;;99.,5;Thomas Östrom;Per Olofsson;Uppgift saknas;Thomas Östrom,Joachim Karhauser,Olle Bergstrom;;Miljardbolag;100;44,19;climeon.com;Baker McKenzie 
Qiiwi;2017-10-13;Spotlight;InWest Corp. ;1;13;                          302        ;47;6,4;100;Sonny Johansson,Per Bernhult,Oliver Molse, m.fl.,Christian Berger, m.fl.,Holmenbacken;;62.,7;Erik Dale Rundberg;Naim Messo;Uppgift saknas;Sonny Johansson,Jetflex,Per Bernhult,Johanna Mork;;Mikrobolag;0;93,75;www.qiiwi.com;Aktieinvest 
